id,public
somconnexio.100Min200MB,yes
somconnexio.100MinSenseDades,yes
somconnexio.150Min10GB,yes
somconnexio.150Min1GB,yes
somconnexio.150Min2GB,yes
somconnexio.150Min500MB,yes
somconnexio.150MinSenseDades,yes
somconnexio.200Min200MB,yes
somconnexio.200MinSenseDades,yes
somconnexio.ADSL20MB1000MinFix,yes
somconnexio.ADSL20MB100MinFixMobile,yes
somconnexio.ADSL20MBSenseFix,yes
somconnexio.CompartidesFibra1Gb2mobils50GB,yes
somconnexio.CompartidesFibra1Gb3mobils50GB,yes
somconnexio.CompartidesFibra300Mb2mobils50GB,yes
somconnexio.CompartidesFibra300Mb3mobils50GB,yes
somconnexio.CompartidesFibra300MbSF2mobils50GB,yes
somconnexio.CompartidesFibra300MbSF3mobils50GB,yes
somconnexio.Fibra100Mb,yes
somconnexio.Fibra1Gb,yes
somconnexio.Fibra300Mb,yes
somconnexio.Fibra600Mb,yes
somconnexio.PackFibra100MbIL20GB,yes
somconnexio.PackFibra1GbIL20GB,yes
somconnexio.PackFibra300MbIL20GB,yes
somconnexio.PackFibra600MbIL20GB,yes
somconnexio.PackSenseFixFibra100MbIL20GB,yes
somconnexio.PackSenseFixFibra300MbIL20GB,yes
somconnexio.SenseFixFibra300Mb,yes
somconnexio.SenseMinuts10GB,yes
somconnexio.SenseMinuts1GB,yes
somconnexio.SenseMinuts2GB,yes
somconnexio.SenseMinuts500MB,yes
somconnexio.SenseMinutsSenseDades,yes
somconnexio.DadesAddicionals500MB,yes
somconnexio.DadesAddicionals1GB,yes
somconnexio.DadesAddicionals3GB,yes
somconnexio.DadesAddicionals10GBCompartides,yes
somconnexio.DadesAddicionals20GBCompartides,yes
