wavelength,throughput
865.0,0.0
870.0,0.21007
870.173,0.21126
870.346,0.21348
870.519,0.2166799999999999
870.692,0.22084
870.865,0.2259199999999999
871.038,0.2319099999999999
871.211,0.23878
871.384,0.24652
871.557,0.2551
871.73,0.26449
871.903,0.2746699999999999
872.076,0.28559
872.249,0.2971999999999999
872.422,0.30943
872.595,0.32222
872.768,0.33548
872.941,0.34914
873.114,0.36308
873.287,0.3772399999999999
873.46,0.3914999999999999
873.633,0.40581
873.806,0.42007
873.979,0.4342499999999999
874.152,0.4483
874.325,0.46222
874.498,0.476
874.671,0.48966
874.844,0.50326
875.018,0.51684
875.191,0.5304800000000001
875.364,0.54424
875.537,0.55822
875.71,0.57249
875.883,0.5871200000000001
876.056,0.60219
876.229,0.61775
876.402,0.63385
876.575,0.6505299999999999
876.748,0.66779
876.921,0.68562
877.094,0.70399
877.267,0.72284
877.44,0.74208
877.613,0.7616200000000001
877.786,0.7813
877.959,0.80098
878.132,0.8204699999999999
878.305,0.83958
878.478,0.85812
878.651,0.87587
878.824,0.89264
878.997,0.90826
879.17,0.92255
879.343,0.93541
879.516,0.94673
879.689,0.95648
879.862,0.96463
880.035,0.97124
880.208,0.97636
880.381,0.9801
880.554,0.98259
880.727,0.98399
880.9,0.98444
881.073,0.98413
881.246,0.98322
881.419,0.98186
881.592,0.9802
881.765,0.97838
881.938,0.97651
882.111,0.9747
882.284,0.97303
882.457,0.97156
882.63,0.97034
882.803,0.9694
882.976,0.96875
883.149,0.96841
883.322,0.96835
883.495,0.96857
883.668,0.96902
883.841,0.96968
884.014,0.97051
884.187,0.97146
884.36,0.97249
884.533,0.97354
884.706,0.97459
884.879,0.97557
885.053,0.97646
885.226,0.97723
885.399,0.97785
885.572,0.9783
885.745,0.97856
885.918,0.97864
886.091,0.97853
886.264,0.97824
886.437,0.97779
886.61,0.9772
886.783,0.97649
886.956,0.97569
887.129,0.97482
887.302,0.97392
887.475,0.97302
887.648,0.97215
887.821,0.97133
887.994,0.97059
888.167,0.96996
888.34,0.96946
888.513,0.96909
888.686,0.96887
888.859,0.96882
889.032,0.96892
889.205,0.96919
889.378,0.96961
889.551,0.97018
889.724,0.97088
889.897,0.9717
890.07,0.97262
890.243,0.97362
890.416,0.97468
890.589,0.97579
890.762,0.9769
890.935,0.97802
891.108,0.9791
891.281,0.98014
891.454,0.98111
891.627,0.982
891.8,0.9828
