pams,PaMs
nwa,No WaM assessment
pre-2023-guidebook-finding,pre-2023 Guidebook Finding
transp,Transparency
compl,Completeness
cons,Consistency
comp,Comparability
accuracy,Accuracy
flex,Flexibility
ec,Ensuring compliance
rm,Recommendation
enc,Encouragement
