rec-fu,Recommendation follow-up
re-fu,RE follow-up
tc-fu,TC follow-up
flexibility,Flexibility
pre-2023-guidebook-finding,pre-2023 Guidebook Finding
ptc,Potential technical correction (PTC)
transparency,Transparency
accuracy,Accuracy
completeness,Completeness
consistency,Consistency
comparability,Comparability
nsms,Not sent to Member State
tc,Technical Correction (TC)
rev-est,Revised Estimate (RE)
recommendation,Recommendation
unquantified-potential-technical-correction,Unquantified Potential Technical Correction
